PLAYER,SALARY
DJ Augustin,7250000
Jeremy Lamb,7000000
Louis Williams,7000000
Rodney Stuckey,7000000
Boris Diaw,7000000
Sergio Rodriguez,6800000
Carl Landry,6750000
Ed Davis,6666667
Isaiah Thomas,6587131
Victor Oladipo,6552960
Jodie Meeks,6540000
Matt Barnes,6508351
Aron Baynes,6500000
Marco Belinelli,6333333
Jae Crowder,6286408
Tarik Black,6191000
Lance Thomas,6191000
Andrew Nicholson,6088993
Patrick Patterson,6050000
Andrew Wiggins,6006600
Ramon Sessions,6000000
Ishmael Smith,6000000
Patrick Beverley,6000000
Wayne Ellington,6000000
Alex Abrines,5994764
Karl-Anthony Towns,5960160
Ben Simmons,5903160
Otto Porter,5893981
Nikola Mirotic,5782450
Shaun Livingston,5782450
Josh McRoberts,5782450
Spencer Hawes,5782450
Brandan Wright,5709880
Tim Duncan,5643750
Boban Marjanovic,5628000
Wesley Johnson,5628000
Tyler Johnson,5628000
Jared Sullinger,5628000
Brandon Jennings,5587318
Nick Young,5443918
Jabari Parker,5374320
Lance Stephenson,5371672
D'Angelo Russell,5332800
Josh Smith,5331729
Cody Zeller,5318313
PJ Tucker,5300000
Brandon Ingram,5281680
Kyle Korver,5239437
Darren Collison,5229454
Larry Sanders,5207722
Langston Galloway,5200000
Derrick Williams,5020145
Jonas Jerebko,5000000
Luis Scola,5000000
Roy Hibbert,5000000
Tony Allen,5000000
CJ Watson,5000000
Jason Smith,5000000
Alexis Ajinca,4863206
Mike Dunleavy,4837500
Kyle Singler,4837500
Joel Embiid,4826160
Alex Len,4823621
Jahlil Okafor,4788840
Jaylen Brown,4743000
Marcus Morris,4625000
CJ Miles,4583450
Jameer Nelson,4540525
Nerlens Noel,4384490
Aaron Gordon,4351320
Greivis Vasquez,4347826
Kristaps Porzingis,4317720
Dragan Bender,4276320
Vince Carter,4264057
Devin Harris,4227996
Jose Juan Barea,4096950
Ben McLemore,4008882
Thabo Sefolosha,4000000
James Johnson,4000000
Udonis Haslem,4000000
Jordan Hill,4000000
Leandro Barbosa,4000000
Dante Exum,3940320
Kyle O'Quinn,3918750
Mario Hezonja,3909840
Kris Dunn,3872520
Nemanja Bjelica,3800000
Nick Collison,3750000
Kentavious Caldwell-Pope,3678319
Quincy Pondexter,3617978
Marcus Smart,3578880
Bojan Bogdanovic,3573020
Willie Cauley-Stein,3551160
Will Barton,3533333
Paul Pierce,3527920
Buddy Hield,3517200
Mike Miller,3500000
Lavoy Allen,3500000
Brandon Rush,3500000
Anthony Morrow,3488000
Trey Burke,3386597
Kevin Martin,3336000
KJ McDaniels,3333333
Mike Scott,3333333
Troy Daniels,3332940
Julius Randle,3267120
Ronnie Price,3251227
Emmanuel Mudiay,3241800
CJ McCollum,3219579
Jamal Murray,3210840
Patrick Mills,3200000
Michael Carter-Williams,3183526
Omri Casspi,3149524
Steven Adams,3140517
Kelly Olynyk,3094013
Shabazz Muhammad,3046299
Justin Hamilton,3000000
Dante Cunningham,3000000
Giannis Antetokounmpo,2995420
Nik Stauskas,2993040
Stanley Johnson,2969880
Quincy Acy,2965505
Marquese Chriss,2941440
Seth Curry,2898000
Zaza Pachulia,2898000
Nenê,2898000
James Ennis,2898000
Dion Waiters,2898000
Mindaugas Kuzminskas,2898000
Dewayne Dedmon,2898000
Tomas Satoransky,2870813
Tibor Pleiss,2800000
Noah Vonleh,2751360
Frank Kaminsky,2730000
Dennis Schroeder,2708582
Jakob Poeltl,2703960
Aaron Brooks,2700000
Elfrid Payton,2613600
Justise Winslow,2593440
Thon Maker,2568600
Malcolm Delaney,2500000
Randy Foye,2500000
Richard Jefferson,2500000
Martell Webster,2500000
Doug McDermott,2483040
Domantas Sabonis,2440200
Shelvin Mack,2433334
Myles Turner,2380440
Tony Snell,2368327
Archie Goodwin,2350999
Gorgui Dieng,2348782
Trey Lyles,2340600
Mason Plumlee,2328530
Taurean Prince,2318280
Dario Saric,2318280
Tim Hardaway Jr,2281605
Reggie Bullock,2255644
Alonzo Gee,2255408
Zach LaVine,2240880
Devin Booker,2223600
Luc Mbah a Moute,2203000
Georgios Papagiannis,2202240
Maurice Williams,2194500
Andre Roberson,2183072
TJ Warren,2128920
Rudy Gobert,2121287
Cameron Payne,2112480
Joe Ingles,2100000
Denzel Valentine,2092200
Tim Frazier,2090000
Adreian Payne,2022240
Kelly Oubre,2006640
Juan Hernangomez,1987440
Jusuf Nurkic,1921320
Lucas Nogueira,1921320
Terry Rozier,1906440
James Young,1825200
Rashad Vaughn,1811040
Kevin Seraphin,1800000
Wade Baldwin,1793760
Tyler Ennis,1733880
Sam Dekker,1720560
Joffrey Lauvergne,1709719
Henry Ellenson,1704120
Gary Harris,1655880
Jerian Grant,1643040
Malik Beasley,1627320
RJ Hunter,1625240
Bruno Caboclo,1589640
Delon Wright,1577280
Jarrett Jack,1571705
Caris LeVert,1562280
Chris Andersen,1551659
James Jones,1551659
David West,1551659
Raymond Felton,1551659
Brandon Bass,1551659
Metta World Peace,1551659
Jason Terry,1551659
Steve Novak,1551659
Caron Butler,1551659
David Lee,1551659
Mitch McGary,1526040
Justin Anderson,1514160
Marcelo Huertas,1500000
DeAndre Bembry,1499760
Jordan Adams,1465080
Demetrius Jackson,1450000
Malachi Richardson,1439880
Gerald Green,1410598
Sasha Vujacic,1410598
Rodney Hood,1406520
Bobby Portis,1404600
JaVale McGee,1403611
Marreese Speights,1403611
Michael Beasley,1403611
Rondae Hollis-Jefferson,1395600
Willy Hernangomez,1375000
Deyonta Davis,1369229
Nikola Jokic,1358500
Shabazz Napier,1350120
Tyus Jones,1339680
Sasha Kaun,1333420
Timothe Luwawu,1326960
Alan Anderson,1315448
Ty Lawson,1315448
Marcus Thornton,1315448
Clint Capela,1296240
Jarell Martin,1286160
Brice Johnson,1273920
Jeremy Evans,1227286
Luke Babbitt,1227286
Jordan Mickey,1223653
CJ Wilcox,1209600
Larry Nance Jr,1207680
Terrence Jones,1207194
Pascal Siakam,1196040
Kyle Anderson,1192080
Josh Huestis,1191480
Chris McCullough,1191480
Skal Labissiere,1188840
Livio Jean-Charles,1188840
Kevon Looney,1182840
Dejounte Murray,1180080
Damian Jones,1171560
Hollis Thompson,1131040
Isaiah Whitehead,1074145
Joseph Young,1052342
Rakeem Christmas,1052342
Brian Roberts,1050961
Pablo Prigioni,1050961
Thomas Robinson,1050961
John Jenkins,1050961
Glenn Robinson III,1050500
Montrezl Harrell,1045000
Ivica Zubac,1034865
Richaun Holmes,1024000
Anthony Brown,1023838
Mike Muscala,1015696
Anthony Bennett,1015696
Isaiah Canaan,1015696
Ian Clark,1015696
Justin Holiday,1015696
Robert Covington,1015696
Jeff Withey,1015696
DeAndre Liggins,1015695
Walter Tavares,1006000
Joe Harris,980431
Sean Kilpatrick,980431
Nick Johnson,980431
Beno Udrih,980431
James Michael McAdoo,980431
JaMychal Green,980431
Louis Amundson,980431
Jerami Grant,980431
Damjan Rudez,980431
Elton Brand,980000
Axel Toupane,977534
Stephen Zimmerman,950000
Andrew Harrison,945000
Bobby Brown,940070
Tyler Ulis,918369
Jason Thompson,893333
Raul Neto,877800
Malcolm Brogdon,875000
Christian Wood,874636
Cristiano Felicio,874636
Jordan McRae,874636
Salah Mejri,874636
Darrun Hilliard,874636
Josh Richardson,874636
TJ McConnell,874636
Alan Williams,874636
Pat Connaughton,874636
Jonathon Simmons,874636
Norman Powell,874636
Paul Zipser,750000
Spencer Dinwiddie,726672
Ryan Kelly,713305
Jonathan Gibson,671346
Joel Anthony,663810
Troy Williams,652165
AJ Hammons,650000
Michael Gbinije,650000
Georges Niang,650000
Briante Weber,623447
Donatas Motiejunas,607491
Jake Layman,600000
Joel Bolomboy,600000
John Lucas,580344
Gary Payton II,578636
Toney Douglas,564868
Treveon Graham,543471
Kay Felder,543471
Nicolas Brussino,543471
Dorian Finney-Smith,543471
Patrick McCaw,543471
Kyle Wiltjer,543471
Chinanu Onuaku,543471
Diamond Stone,543471
Rodney McGruder,543471
Cheick Diallo,543471
Ron Baker,543471
Marshall Plumlee,543471
Maurice Ndour,543471
Semaj Christon,543471
Derrick Jones,543471
Tim Quarterman,543471
Davis Bertans,543471
Bryn Forbes,543471
Fred VanVleet,543471
Daniel Ochefu,543471
Sheldon Mac,543471
Danuel House,543471
Chasson Randle,541170
Arinze Onuaku,426775
Yogi Ferrell,409300
Johnny O'Bryant,392169
Aaron Harrison,365289
Okaro White,310995
Isaiah Taylor,305000
Norris Cole,288131
Ben Bentil,281968
Jarell Eddie,277898
Elliot Williams,250000
Yi Jianlian,250000
Lamar Patterson,242963
Jordan Crawford,234920
Nicolas Laprovittola,204601
Reggie Williams,193307
Pierre Jackson,191810
Brandon Paul,155000
Shawn Long,154512
Robbie Hummel,150000
Jarnell Stokes,150000
Mike Tobey,138937
Patricio Garino,131968
Jarrod Uthoff,129920
Marcus Paige,125000
Ray McCallum,119493
Manny Harris,119493
Wayne Selden,115087
Egidijus Mockevicius,100000
Stefan Jankovic,100000
JP Tokoto,100000
Isaiah Cousins,100000
Quinn Cook,95904
Marcus Georges-Hunt,88936
Jordan Farmar,82976
Prince Ibeh,77250
Keith Benson,75000
Kaleb Tarczewski,75000
Ryan Arcidiacono,75000
Henry Sims,75000
Quincy Ford,75000
Alex Poythress,73743
David Nwaba,73528
Gary Neal,72193
Kyle Collinsworth,70000
Thomas Walkup,69500
James Webb,65000
Zach Auguste,60000
Brady Heslip,56500
Matt Costello,50000
Damion Lee,50000
Nate Wolters,50000
DJ Kennedy,50000
Scott Wood,50000
Elgin Cook,50000
Julyan Stone,50000
Alex Caruso,50000
Anthony Barber,50000
Dionte Christmas,50000
EJ Singler,50000
Beau Beech,45000
Phil Pressey,35000
Nikola Jovanovic,30000
Jalen Jones,25000
Nick Zeisloft,25000
Tony Wroten,25000
Dahntay Jones,24022
